Category,Item,QOH,Cost Value,Total Cost Value,Retail Value,Total Retail Value
BUSCH,BUSCH LIGHT  30 PACK,44,14.83,652.52,19.99,879.56
BUSCH,BUSCH 16OZ CANS 18 PK,12,11.35,136.20,15.19,182.28
BUSCH,BUSCH  LIGHT 16OZ CANS 18 PK,9,11.35,102.15,15.19,136.71
BUSCH,NATURAL ICE 12OZ CANS 18 PK,7,8.15,57.05,10.99,76.93
BUSCH,NATURAL LIGHT 12OZ CAN 18 PK,13,8.15,105.95,10.99,142.87
BUSCH,BUSCH 16OZ CANS 18 PK,10,2.99,29.90,2.99,29.90
,Total,147,,$1857.01,,$2487.73
CHESTERFIELD ALE,,,,
CHESTERFIELD ALE,CHESTERFIELD ALE  4/6 PK NR CASE,204,0.91,185.64,27.99,5709.96
CHESTERFIELD ALE,CHESTERFIELD 2/12 PK 12 OZ CAN CASE,432,0.74,319.68,22.79,9845.28
,Total,636,,$505.32,,$15555.24
COORS,,,,
COORS,COORS 30 PACK,23,18.65,428.95,23.79,547.17
COORS,HAMMS 30 PACK,11,11.95,131.45,14.79,162.69
,Total,34,,$560.4,,$709.86
COORS EXTRA GOLD,,,,
COORS EXTRA GOLD,COORS EXTRA GOLD 30 PACK,27,13.40,361.80,17.69,477.63
,Total,27,,$361.8,,$477.63
COORS LIGHT,,,,
COORS LIGHT,COORS LIGHT NR LOOSE CASE,56,17.99,1007.44,23.49,1315.44
COORS LIGHT,COORS LIGHT 7OZ NR,6,12.70,76.20,16.69,100.14
COORS LIGHT,COORS LIGHT 8OZ CANS  LOOSE CASE,13,12.21,158.73,13.99,181.87
COORS LIGHT,COORS LIGHT 30 PACK,109,18.66,2033.94,23.79,2593.11
COORS LIGHT,COORS LIGHT 16 OZ CAN 4/6 PK CASE,186,0.90,167.40,24.89,4629.54
COORS LIGHT,COORS LIGHT 16OZ CANS 18 PACK,35,13.95,488.25,18.29,640.15
COORS LIGHT,COORS LIGHT ALUM.2/9 PK CASE,171,1.04,177.84,21.79,3726.09
COORS LIGHT,COORS LIGHT COOLER BAGS,45,22.15,996.75,28.59,1286.55
COORS LIGHT,COORS LIGHT 10 OZ CAN LOOSE CASE,9,13.22,118.98,18.39,165.51
COORS LIGHT,COORS  12OZ NR LOOSE CASE,4,17.85,71.40,23.49,93.96
