Item Type,SKU,Item Name,QOH,Selling Price,Unit Per Case,Department,Category,Size
Standard,083791520148,DIRTY CHIP SAL  VINEGAR 2 OZ,0,1.19,1,NON TAXABLE MISC,SNACKS,
Standard,041780020871,UTZ RIPPLES CHIPS,1,2.79,1,NON TAXABLE MISC,SNACKS,
Standard,041780020475,UTZ BBQ CHIPS,2,2.79,1,NON TAXABLE MISC,SNACKS,
Standard,083791520025,DIRTY CHIP JALEPENO HEAT2 OZ,1,1.19,1,NON TAXABLE MISC,SNACKS,
Standard,083791520049,DIRTY CHIP MES BBQ 2 OZ,2,1.19,1,NON TAXABLE MISC,SNACKS,
Standard,077817286064,BACHMAN JAX,0,1.49,1,NON TAXABLE MISC,SNACKS,
Standard,038000845277,PRINGLES BBQ,0,0.59,1,NON TAXABLE MISC,SNACKS,
Standard,038000845253,PRINGLES SOUR CREAM ONION,0,0.59,1,NON TAXABLE MISC,SNACKS,
Standard,038000845246,PRINGLES ORIGINAL,0,1.49,1,NON TAXABLE MISC,SNACKS,
Standard,041420744006,BLACK FOREST GUMMY BEARS,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,042238472747,HARIBO RAINBOW FROGS,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,041420754029,BLACK FOREST GUMMY WORMS,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,028348001756,GURLEYS ORANGE SLICES,0,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,028348001893,GURLEYS TOOTSIE ROLLS,0,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,028348900943,GURLEYS GUMMY APPLE RINGS,0,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,028348072008,GURLEYS BLUE SHARKS,9,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,041419420065,COMBOS PIZZERIA SNACKS,0,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,041419420072,COMBOS CHEDDAR CHEESE SNACKS,0,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,042897660004,BIG LEAGUEBUBBLE GUM,0,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,042897660028,BIG LEAGUE SWININ S APPLE,2,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,042897660011,BIG LEAGUE GROUND BALL GRAPE,0,2.49,1,NON TAXABLE MISC,SNACKS,
Standard,682178011189,DAMN GOOD BEEF JERKY WESTERN,0,3.49,1,NON TAXABLE MISC,SNACKS,
Standard,682178009186,DAMN GOOD BEEF JERKY HAWAIIAN,0,3.49,1,NON TAXABLE MISC,SNACKS,
Standard,682178008189,DAMN GOOD BEEF JERKY SWEET SP,0,3.49,1,NON TAXABLE MISC,SNACKS,
Standard,682178001180,DAMN GOOD BEEF JERKY ORIGINAL,0,3.49,1,NON TAXABLE MISC,SNACKS,
Standard,886002550534,MRS FIELD WHITE CHUNK MACADAMI,1,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,886002550510,MRS FIELD MILK CHOC. CHIP,4,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,886002550527,MRS FIELD OATMEAL RAISON WITH,6,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,886002705163,MRS FIELD BUTTER PECAN PRALINE,0,0.99,1,NON TAXABLE MISC,SNACKS,
Standard,009800007615,TIC TAC FRESH MINTS,3,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,009800007608,TIC TAC FRUIT ADVENTURE,0,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,009800007639,TIC TAC FRUIT ORANGE,0,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,009800001088,TIC TAC FRUIT CHERRY COLA,0,1.59,1,NON TAXABLE MISC,SNACKS,
Standard,026200238937,DAVID JUMBO SUNFLOWER BUFF,0,2.29,1,NON TAXABLE MISC,SNACKS,
Standard,026200238920,DAVID JUMBO SUNFLOWERORIGINAL,0,1.99,1,NON TAXABLE MISC,SNACKS,
Standard,026200423807,DAVID JUMBO SIMPLY SEEDS,0,1.89,1,NON TAXABLE MISC,SNACKS,
Standard,026200465722,DAVID JUMBO BBQ,0,1.89,1,NON TAXABLE MISC,SNACKS,
Standard,042238380868,HARIBO PEACHES,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,042238377554,HARIBO TWIN SNAKES,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,038000845512,PRINGLES ORIGINAL1.4OZ,0,0.59,1,NON TAXABLE MISC,SNACKS,
Standard,028348900899,GURLEYS SOUR WORMS,0,0.50,1,NON TAXABLE MISC,SNACKS,
Standard,017082000408,JACK LINKSJALAPENO BEEF  CHEESE SNACK,0,1.59,1,SNACKS,SNACKS,
Standard,03422900,KITKAT BAR,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,010700807274,PAYDAY KING SIZE,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,03448005,REESES PEANUT BUTTER CUPS,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,070622431018,COW TALES,0,0.39,1,NON TAXABLE MISC,SNACKS,
Standard,042238302211,HARIBO GUMMI BEAR,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,042238369092,HARIBO GUMMI ALPHABET,0,1.79,1,NON TAXABLE MISC,SNACKS,
Standard,017082000132,JACKS LINKS SH 1 0Z BEEF STIC,0,1.69,1,NON TAXABLE MISC,SNACKS,
Standard,017082600035,JACKS LINKS BEEF STEAK JUMBO,0,2.89,1,NON TAXABLE MISC,SNACKS,
Standard,017082600738,JACKS LINKS T BEEF STEAK JUMBO,0,2.89,1,NON TAXABLE MISC,SNACKS,
Standard,616639934380,NUTS FOR DRINKS STOUT,0,4.99,1,NON TAXABLE MISC,SNACKS,
Standard,616639934373,NUTS FOR DRINKS LAGER,0,4.99,1,NON TAXABLE MISC,SNACKS,
Standard,616639934397,NUTS FOR DRINKS IPA,0,4.99,1,NON TAXABLE MISC,SNACKS,
Standard,616639934410,NUTS FOR DRINKS WHEAT ALE,0,4.99,1,NON TAXABLE MISC,SNACKS,
